Year,Month,CPI_Score
2013,Jan,230.280
2013,Feb,232.166
2013,Mar,232.773
2013,Apr,232.531
2013,May,232.945
2013,Jun,233.504
2013,Jul,233.596
2013,Aug,233.877
2013,Sep,234.149
2013,Oct,233.546
2013,Nov,233.069
2013,Dec,233.049
2014,Jan,233.916
2014,Feb,234.781
2014,Mar,236.293
2014,Apr,237.072
2014,May,237.900
2014,Jun,238.343
2014,Jul,238.250
2014,Aug,237.852
2014,Sep,238.031
2014,Oct,237.433
2014,Nov,236.151
2014,Dec,234.812
2015,Jan,236.119
2015,Feb,236.599
2015,Mar,237.805
2015,Apr,238.638
2015,May,238.654
2015,Jun,238.316
2015,Jul,237.945
2015,Aug,237.838
2015,Sep,237.336
2015,Oct,236.525
2015,Nov,236.265
2015,Dec,237.769
2016,Jan,236.916
2016,Feb,237.111
2016,Mar,238.132
2016,Apr,239.261
2016,May,240.229
2016,Jun,241.018
2016,Jul,240.628
2016,Aug,240.849
2016,Sep,241.428
2016,Oct,241.729
2016,Nov,241.353
2016,Dec,241.432
2017,Jan,242.839
2017,Feb,243.603
2017,Mar,243.801
2017,Apr,244.524
2017,May,244.733
2017,Jun,244.955
2017,Jul,244.786
2017,Aug,245.519
2017,Sep,246.819
2017,Oct,246.663
2017,Nov,246.669
2017,Dec,246.524
2018,Jan,247.867
2018,Feb,248.991
2018,Mar,249.554
2018,Apr,250.546
2018,May,251.588
2018,Jun,251.989
2018,Jul,252.006
2018,Aug,252.146
2018,Sep,252.439
2018,Oct,252.885
2018,Nov,252.038
2018,Dec,251.233